epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,1582.23,0.38282,0.60213,0.2804,0.65742,0.70588,0.64817,0.43032,0.44779,0.61762,0.42907,4.852e-05,4.852e-05,4.852e-05
41,1620.89,0.40926,0.57632,0.28769,0.71832,0.67505,0.63922,0.43177,0.45171,0.64929,0.42499,4.72e-05,4.72e-05,4.72e-05
42,1659.12,0.38063,0.58457,0.27061,0.68627,0.63971,0.61542,0.4152,0.44189,0.65581,0.41687,4.588e-05,4.588e-05,4.588e-05
43,1698.4,0.39448,0.59629,0.2876,0.68039,0.67311,0.59917,0.40349,0.44884,0.6577,0.43856,4.456e-05,4.456e-05,4.456e-05
44,1738.28,0.3848,0.60276,0.27437,0.66568,0.7467,0.65627,0.43831,0.41755,0.65962,0.39098,4.324e-05,4.324e-05,4.324e-05
45,1777.99,0.38034,0.5975,0.26816,0.65419,0.72059,0.64683,0.44566,0.43943,0.593,0.42456,4.192e-05,4.192e-05,4.192e-05
46,1817.3,0.36144,0.59128,0.25417,0.66312,0.69853,0.63642,0.43124,0.44761,0.61807,0.44632,4.06e-05,4.06e-05,4.06e-05
47,1856.18,0.37701,0.57455,0.28357,0.61179,0.75735,0.64628,0.42245,0.47568,0.61006,0.45548,3.928e-05,3.928e-05,3.928e-05
48,1895.13,0.37869,0.55392,0.25764,0.72594,0.64274,0.6568,0.44776,0.45257,0.63398,0.42425,3.796e-05,3.796e-05,3.796e-05
49,1934,0.37278,0.57024,0.25992,0.69252,0.625,0.65194,0.44291,0.41977,0.67161,0.38853,3.664e-05,3.664e-05,3.664e-05
50,1972.7,0.36593,0.57096,0.26788,0.75091,0.625,0.67461,0.45879,0.40631,0.69625,0.3847,3.532e-05,3.532e-05,3.532e-05
51,2011.08,0.37683,0.57121,0.27449,0.68718,0.67647,0.67899,0.4586,0.43718,0.63188,0.3928,3.4e-05,3.4e-05,3.4e-05
52,2049.98,0.36782,0.55439,0.26085,0.70832,0.61765,0.66431,0.45324,0.43385,0.63916,0.39051,3.268e-05,3.268e-05,3.268e-05
53,2089.95,0.35826,0.55263,0.25643,0.73013,0.67647,0.70317,0.47381,0.40588,0.62452,0.38392,3.136e-05,3.136e-05,3.136e-05
54,2129.85,0.35357,0.55268,0.24628,0.73089,0.63904,0.68333,0.47553,0.43689,0.5703,0.4061,3.004e-05,3.004e-05,3.004e-05
55,2168.68,0.37507,0.55377,0.25939,0.73054,0.63792,0.6753,0.46132,0.44481,0.58706,0.40903,2.872e-05,2.872e-05,2.872e-05
56,2207.61,0.35753,0.53281,0.25644,0.78237,0.60294,0.69034,0.47373,0.41167,0.63369,0.38487,2.74e-05,2.74e-05,2.74e-05
57,2246.14,0.36313,0.52651,0.25154,0.7215,0.66674,0.67806,0.46956,0.44103,0.63126,0.41673,2.608e-05,2.608e-05,2.608e-05
58,2284.69,0.36057,0.55399,0.26582,0.75292,0.625,0.69067,0.47358,0.45246,0.60329,0.44116,2.476e-05,2.476e-05,2.476e-05
59,2323.88,0.35028,0.55143,0.26378,0.72711,0.69118,0.67837,0.46064,0.45715,0.6175,0.44034,2.344e-05,2.344e-05,2.344e-05
60,2362.56,0.37551,0.53901,0.26193,0.73905,0.66912,0.69645,0.47173,0.44645,0.61533,0.42985,2.212e-05,2.212e-05,2.212e-05
61,2400.78,0.34158,0.51516,0.24469,0.7224,0.68382,0.66887,0.45893,0.4576,0.60335,0.43441,2.08e-05,2.08e-05,2.08e-05
62,2441.01,0.34697,0.53599,0.24495,0.75043,0.6412,0.68786,0.46987,0.45528,0.59316,0.43065,1.948e-05,1.948e-05,1.948e-05
63,2480.99,0.35889,0.53694,0.24707,0.68054,0.69118,0.68019,0.45625,0.44601,0.62151,0.41198,1.816e-05,1.816e-05,1.816e-05
64,2520.06,0.35891,0.5464,0.2486,0.65964,0.68382,0.67309,0.45804,0.43801,0.64055,0.42279,1.684e-05,1.684e-05,1.684e-05
65,2559.39,0.34512,0.51707,0.23823,0.76838,0.59559,0.6815,0.4632,0.45109,0.65191,0.4251,1.552e-05,1.552e-05,1.552e-05
66,2616.78,0.29802,0.51478,0.25439,0.7755,0.60294,0.67705,0.45852,0.41791,0.71567,0.38726,1.42e-05,1.42e-05,1.42e-05
67,2655.85,0.29404,0.51298,0.24816,0.75362,0.66912,0.69526,0.47275,0.46467,0.60827,0.43504,1.288e-05,1.288e-05,1.288e-05
68,2694.5,0.29549,0.49039,0.25537,0.74948,0.66912,0.70648,0.47309,0.46234,0.57085,0.4394,1.156e-05,1.156e-05,1.156e-05
69,2733,0.28696,0.49957,0.24527,0.74781,0.68382,0.68925,0.46705,0.45855,0.55099,0.43289,1.024e-05,1.024e-05,1.024e-05
70,2771.92,0.28862,0.50127,0.25685,0.75798,0.65441,0.69204,0.47404,0.45484,0.55694,0.41652,8.92e-06,8.92e-06,8.92e-06
71,2812.32,0.28948,0.47238,0.22952,0.72596,0.66912,0.67852,0.46453,0.4602,0.57088,0.41878,7.6e-06,7.6e-06,7.6e-06
72,2851.97,0.27769,0.48997,0.23998,0.75333,0.64706,0.69249,0.47832,0.45114,0.56437,0.41298,6.28e-06,6.28e-06,6.28e-06
73,2891.62,0.29309,0.47687,0.23246,0.7539,0.65324,0.68822,0.46914,0.45453,0.5717,0.41389,4.96e-06,4.96e-06,4.96e-06
74,2930.69,0.2745,0.49921,0.22253,0.76014,0.62916,0.69026,0.47237,0.45747,0.56357,0.42221,3.64e-06,3.64e-06,3.64e-06
75,2969.19,0.27953,0.47519,0.22963,0.75706,0.6416,0.70884,0.48839,0.44467,0.57416,0.39828,2.32e-06,2.32e-06,2.32e-06
