epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,167.296,0.85922,0.75252,1.1048,0.82529,0.66176,0.7293,0.47159,1.1567,1.11524,1.30581,0.0011882,0.0011882,0.0011882
43,171.324,0.85627,0.76633,1.1026,0.76161,0.70588,0.70379,0.45938,1.13547,1.01299,1.31323,0.0011684,0.0011684,0.0011684
44,175.376,0.86963,0.76377,1.10737,0.72219,0.76471,0.73049,0.49145,1.16101,0.99028,1.29161,0.0011486,0.0011486,0.0011486
45,179.352,0.87381,0.76461,1.10391,0.76051,0.75735,0.75736,0.51451,1.18546,0.95116,1.3272,0.0011288,0.0011288,0.0011288
46,183.254,0.8565,0.74736,1.08074,0.82712,0.68382,0.76594,0.52234,1.14201,0.96977,1.27363,0.001109,0.001109,0.001109
47,187.097,0.83652,0.76327,1.08124,0.77286,0.68382,0.7389,0.48294,1.1583,0.98031,1.31818,0.0010892,0.0010892,0.0010892
48,190.974,0.83418,0.72611,1.08196,0.73478,0.71298,0.7485,0.51852,1.16399,0.97288,1.3086,0.0010694,0.0010694,0.0010694
49,194.837,0.85421,0.7652,1.08396,0.68631,0.75735,0.708,0.46432,1.14835,0.99916,1.29398,0.0010496,0.0010496,0.0010496
50,198.703,0.84427,0.72829,1.07813,0.7566,0.73141,0.75786,0.51606,1.18395,0.97546,1.32761,0.0010298,0.0010298,0.0010298
51,202.587,0.82292,0.74561,1.08874,0.74113,0.71576,0.7764,0.50661,1.16092,0.98869,1.32017,0.00101,0.00101,0.00101
52,206.474,0.81771,0.70318,1.0761,0.78353,0.74265,0.77824,0.51524,1.15334,0.98932,1.33935,0.0009902,0.0009902,0.0009902
53,210.365,0.81008,0.72157,1.06915,0.71121,0.76471,0.7643,0.52098,1.15098,1.03318,1.32895,0.0009704,0.0009704,0.0009704
54,214.299,0.79561,0.71294,1.06444,0.70099,0.74124,0.72363,0.46923,1.15951,1.00517,1.35011,0.0009506,0.0009506,0.0009506
55,218.165,0.80791,0.71668,1.06379,0.70135,0.75735,0.74262,0.51349,1.13995,0.94495,1.32872,0.0009308,0.0009308,0.0009308
56,222.098,0.78767,0.67038,1.05362,0.7394,0.73529,0.7385,0.51154,1.11401,0.94099,1.26519,0.000911,0.000911,0.000911
57,225.981,0.77341,0.67143,1.06022,0.72541,0.73529,0.73626,0.5189,1.1273,0.98662,1.28589,0.0008912,0.0008912,0.0008912
58,229.865,0.77849,0.65724,1.05297,0.74741,0.69625,0.72666,0.50682,1.12302,0.97803,1.30102,0.0008714,0.0008714,0.0008714
59,233.758,0.76383,0.6526,1.05211,0.76164,0.77206,0.75396,0.50714,1.14689,0.94004,1.33035,0.0008516,0.0008516,0.0008516
60,237.645,0.74498,0.64607,1.0603,0.7415,0.74265,0.74708,0.478,1.20945,1.0574,1.36713,0.0008318,0.0008318,0.0008318
61,241.543,0.77613,0.66975,1.05381,0.69514,0.75448,0.74353,0.51823,1.14432,0.9608,1.32444,0.000812,0.000812,0.000812
